Pulse,Actual_Normalized,Model_Normalized,Residual,Actual_Current
25,0.9607843137254901,0.9246740966999825,0.03611021702550765,4.389051808406647e-06
26,0.9439775910364145,0.9217026233721093,0.022274967664305256,4.359726295210166e-06
27,0.9495798319327731,0.9187343165853337,0.0308455153474394,4.3695014662756595e-06
28,0.9495798319327731,0.9157691729652411,0.03381065896753199,4.3695014662756595e-06
29,0.9439775910364145,0.912807189141013,0.031170401895401545,4.359726295210166e-06
30,0.9495798319327731,0.909848361745423,0.039731470187350015,4.3695014662756595e-06
31,0.9439775910364145,0.9068926874148331,0.037084903621581455,4.359726295210166e-06
32,0.9495798319327731,0.9039401627891894,0.04563966914358364,4.3695014662756595e-06
33,0.938375350140056,0.900990784512019,0.03738456562803705,4.349951124144672e-06
34,0.9439775910364145,0.8980445492304255,0.045933041805989006,4.359726295210166e-06
35,0.938375350140056,0.8951014535950859,0.04327389654497016,4.349951124144672e-06
36,0.938375350140056,0.8921614942602459,0.046213855879810084,4.349951124144672e-06
37,0.938375350140056,0.8892246678837171,0.049150682256338896,4.349951124144672e-06
38,0.932773109243697,0.8862909711268723,0.04648213811682478,4.340175953079178e-06
39,0.938375350140056,0.8833604006546422,0.055014949485413855,4.349951124144672e-06
40,0.92156862745098,0.8804329531355116,0.041135674315468385,4.320625610948191e-06
41,0.938375350140056,0.8775086252415155,0.0608667248985405,4.349951124144672e-06
42,0.92156862745098,0.8745874136482353,0.04698121380274467,4.320625610948191e-06
43,0.927170868347339,0.8716693150347951,0.055501553312543916,4.330400782013685e-06
44,0.927170868347339,0.8687543260838576,0.058416542263481364,4.330400782013685e-06
45,0.92156862745098,0.8658424434816211,0.05572618396935891,4.320625610948191e-06
46,0.927170868347339,0.8629336639178149,0.06423720442952408,4.330400782013685e-06
47,0.9159663865546219,0.860027984085696,0.055938402468925896,4.310850439882698e-06
48,0.92156862745098,0.8571254006820452,0.06444322676893477,4.320625610948191e-06
49,0.910364145658263,0.8542259104071633,0.05613823525109962,4.301075268817204e-06
50,0.92156862745098,0.8513295099648676,0.07023911748611245,4.320625610948191e-06
51,0.910364145658263,0.8484361960624875,0.06192794959577541,4.301075268817204e-06
52,0.910364145658263,0.8455459654108619,0.06481818024740105,4.301075268817204e-06
53,0.9047619047619044,0.8426588147243343,0.062103090037570086,4.29130009775171e-06
54,0.9047619047619044,0.8397747407207499,0.06498716404115457,4.29130009775171e-06
55,0.9047619047619044,0.836893740121451,0.06786816464045342,4.29130009775171e-06
56,0.8991596638655459,0.8340158096512743,0.0651438542142716,4.2815249266862165e-06
57,0.9047619047619044,0.8311409460385464,0.07362095872335805,4.29130009775171e-06
58,0.8935574229691876,0.8282691460150804,0.06528827695410722,4.271749755620723e-06
59,0.9047619047619044,0.8254004063161722,0.07936149844573226,4.29130009775171e-06
60,0.8879551820728291,0.8225347236805965,0.06542045839223254,4.261974584555229e-06
61,0.8935574229691876,0.8196720948506038,0.07388532811858384,4.271749755620723e-06
62,0.8879551820728291,0.8168125165719157,0.07114266550091342,4.261974584555229e-06
63,0.8823529411764706,0.8139559855937218,0.06839695558274872,4.252199413489736e-06
64,0.8823529411764706,0.8111024986686763,0.07125044250779422,4.252199413489736e-06
65,0.876750700280112,0.8082520525528936,0.06849864772721848,4.242424242424242e-06
66,0.8823529411764706,0.8054046440059447,0.07694829717052587,4.252199413489736e-06
67,0.8711484593837531,0.8025602697908543,0.06858818959289881,4.232649071358748e-06
68,0.8823529411764706,0.7997189266740962,0.0826340145023744,4.252199413489736e-06
69,0.8711484593837531,0.7968806114255902,0.07426784795816288,4.232649071358748e-06
70,0.8711484593837531,0.794045320818698,0.07710313856505502,4.232649071358748e-06
71,0.865546218487395,0.79121305163022,0.07433316685717495,4.222873900293255e-06
72,0.859943977591036,0.7883838006403913,0.07156017695064476,4.213098729227761e-06
73,0.865546218487395,0.785557564632878,0.07998865385451703,4.222873900293255e-06
74,0.8543417366946775,0.7827343403947739,0.07160739629990365,4.203323558162267e-06
75,0.859943977591036,0.7799141247165964,0.08002985287443964,4.213098729227761e-06
76,0.848739495798319,0.7770969143922832,0.07164258140603574,4.1935483870967736e-06
77,0.8543417366946775,0.7742827062191887,0.08005903047548879,4.203323558162267e-06
78,0.8431372549019605,0.7714714969980798,0.07166575790388063,4.18377321603128e-06
79,0.8431372549019605,0.768663283533133,0.0744739713688275,4.18377321603128e-06
80,0.848739495798319,0.7658580626319301,0.08288143316638885,4.1935483870967736e-06
