Pulse,Actual_Normalized,Model_Normalized,Residual,Actual_Current
47,-0.9327731092436976,-0.9508791225310497,0.018106013287352063,1.0850439882697945e-06
48,-0.9439775910364147,-0.9498102995295776,0.005832708493162975,1.0654936461388074e-06
49,-0.9383753501400561,-0.9487404739308833,0.010365123790827213,1.075268817204301e-06
50,-0.9439775910364147,-0.9476696447944919,0.0036920537580772406,1.0654936461388074e-06
51,-0.9383753501400561,-0.9465978111790462,0.008222461038990048,1.075268817204301e-06
52,-0.9383753501400561,-0.9455249721423061,0.00714962200225,1.075268817204301e-06
53,-0.9327731092436976,-0.9444511267411477,0.011678017497450122,1.0850439882697945e-06
54,-0.9383753501400561,-0.9433762740315623,0.005000923891506193,1.075268817204301e-06
55,-0.9327731092436976,-0.9423004130686558,0.009527303824958144,1.0850439882697945e-06
56,-0.9159663865546219,-0.9412235429066476,0.025257156352025634,1.1143695014662756e-06
57,-0.9383753501400561,-0.94014566259887,0.001770312458813872,1.075268817204301e-06
58,-0.927170868347339,-0.9390667711977673,0.011895902850428297,1.0948191593352883e-06
59,-0.9383753501400561,-0.9379868677548949,-0.00038848238516120404,1.075268817204301e-06
60,-0.9327731092436976,-0.9369059513209186,0.004132842077220977,1.0850439882697945e-06
61,-0.9327731092436976,-0.9358240209456137,0.0030509117019160703,1.0850439882697945e-06
62,-0.9327731092436976,-0.934741075677864,0.0019679664341664127,1.0850439882697945e-06
63,-0.9383753501400561,-0.9336571145656614,-0.004718235574394769,1.075268817204301e-06
64,-0.9327731092436976,-0.9325721366561043,-0.0002009725875933288,1.0850439882697945e-06
65,-0.927170868347339,-0.9314861409953977,0.0043152726480587544,1.0948191593352883e-06
66,-0.9383753501400561,-0.9303991266288518,-0.007976223511204306,1.075268817204301e-06
67,-0.9047619047619049,-0.9293110926008813,0.024549187838976416,1.1339198435972628e-06
68,-0.9215686274509803,-0.9282220379550042,0.0066534105040239044,1.104594330400782e-06
69,-0.927170868347339,-0.9271319617338417,-3.890661349725821e-05,1.0948191593352883e-06
70,-0.9495798319327731,-0.9260408629791167,-0.02353896895365637,1.0557184750733138e-06
71,-0.927170868347339,-0.9249487407316531,-0.002222127615685854,1.0948191593352883e-06
72,-0.9215686274509803,-0.9238555940313754,0.0022869665803950667,1.104594330400782e-06
73,-0.927170868347339,-0.9227614219173074,-0.004409446430031605,1.0948191593352883e-06
74,-0.9215686274509803,-0.9216662234275711,9.759597659075858e-05,1.104594330400782e-06
75,-0.9327731092436976,-0.9205699975993867,-0.012203111644310871,1.0850439882697945e-06
76,-0.9159663865546219,-0.9194727434690712,0.003506356914449227,1.1143695014662756e-06
77,-0.9215686274509803,-0.9183744600720373,-0.003194167378943069,1.104594330400782e-06
78,-0.9215686274509803,-0.9172751464427932,-0.004293481008187161,1.104594330400782e-06
79,-0.9327731092436976,-0.9161748016149414,-0.016598307628756248,1.0850439882697945e-06
